シリーズ名,定格電力 W,公称電圧 V,無負荷回転数 rpm,無負荷電流 mA,最大連続トルク時の回転数 rpm,最大連続トルク mNm,最大連続電流 A,停動トルク mNm,起動電流 A,最大効率 %,端子間抵抗 ohm,端子間インダクタンス mH,トルク定数 mNm/A,回転数定数 rpm/V,回転数／トルク勾配 rpm/mNm,機械的時定数 ms,ロータ慣性モーメント gcm?,永久磁石磁極ペア数,位相数,モータ質量g
EC,400,48,5370,670,4960,768,9.56,11800,139,87,0.345,0.273,84.9,113,0.457,3.98,831,1,3,2400
EC,400,48,3100,268,2680,843,5.9,6820,46.4,86,1.03,0.82,147,65,0.457,3.98,831,1,3,2400
EC,250,24,8670,897,7970,311,12.5,4400,167,86,0.143,0.0565,26.3,364,1.98,4.34,209,1,3,1150
EC,250,24,5000,341,4300,331,7.51,2540,55.8,85,0.43,0.17,45.5,210,1.98,4.34,209,1,3,1150
EC,250,36,10400,834,9730,312,10.2,5750,175,87,0.206,0.0883,32.8,291,1.82,3.99,209,1,3,1150
EC,250,36,6010,312,5320,341,6.21,3320,58.3,86,0.617,0.265,56.9,168,1.82,3.99,209,1,3,1150
EC,250,48,10700,656,10000,316,7.94,6110,143,87,0.336,0.149,42.7,224,1.76,3.85,209,1,3,1150
EC,250,48,6160,244,5490,347,4.86,3530,47.7,87,1.01,0.448,73.9,129,1.76,3.85,209,1,3,1150
EC,170,15,9840,617,9090,171,12.2,2620,181,89,0.0829,0.0329,14.5,659,3.77,2.12,53.8,1,3,580
EC,170,24,9840,386,9120,165,7.39,2660,115,89,0.209,0.0843,23.2,412,3.71,2.09,53.8,1,3,580
EC,170,42,10100,230,9380,161,4.24,2740,69.1,89,0.608,0.246,39.6,241,3.7,2.08,53.8,1,3,580
EC,170,48,9840,193,9150,165,3.69,2760,59.6,89,0.806,0.337,46.4,206,3.57,2.01,53.8,1,3,580
EC,150,12,9780,1530,8410,174,16.2,1380,119,79,0.101,0.0266,11.5,827,7.22,8.99,119,1,3,850
EC,150,12,5650,577,4370,186,9.65,872,43.6,79,0.275,0.0797,20,478,6.58,8.19,119,1,3,850
EC,150,18,10300,1120,9000,171,11.2,1540,93.3,80,0.193,0.0542,16.5,579,6.78,8.44,119,1,3,850
EC,150,18,5930,419,4680,184,6.72,931,32.6,79,0.552,0.163,28.6,334,6.46,8.05,119,1,3,850
EC,150,24,10500,879,9290,169,8.55,1600,74.8,80,0.321,0.0917,21.4,445,6.67,8.32,119,1,3,850
EC,150,24,6090,328,4840,183,5.13,952,25.6,79,0.936,0.275,37.1,257,6.49,8.08,119,1,3,850
EC,150,36,9360,471,8150,179,5.29,1560,43.1,81,0.836,0.263,36.3,263,6.07,7.56,119,1,3,850
EC,150,36,5400,177,4190,191,3.14,911,14.5,80,2.48,0.788,62.8,152,6,7.48,119,1,3,850
EC,150,48,10200,411,8960,174,4.21,1650,37.2,81,1.29,0.395,44.5,214,6.22,7.75,119,1,3,850
EC,150,48,5860,154,4640,187,2.52,962,12.5,80,3.85,1.19,77.1,124,6.18,7.7,119,1,3,850
EC,120,12,10300,886,9050,107,10.4,985,89.2,81,0.134,0.0266,11,865,10.5,9.39,85,1,3,390
EC,120,18,12000,754,10900,113,8.62,1340,94.4,83,0.191,0.0439,14.2,673,9.05,8.06,85,1,3,390
EC,120,21,10400,515,9240,116,6.46,1150,60.1,83,0.349,0.0797,19.1,500,9.13,8.13,85,1,3,390
EC,120,30,11600,426,10500,120,5.24,1420,57.9,84,0.518,0.132,24.6,389,8.2,7.3,85,1,3,390
EC,120,24,10300,443,9160,120,5.78,1210,55,83,0.436,0.106,22.1,433,8.55,7.61,85,1,3,390
EC,120,36,9830,275,8710,123,3.76,1200,34.6,83,1.04,0.263,34.7,275,8.26,7.35,85,1,3,390
EC,120,42,10400,258,9290,122,3.4,1280,33.5,84,1.25,0.319,38.2,250,8.2,7.3,85,1,3,390
EC,120,48,7560,139,6450,127,2.22,940,15.7,82,3.07,0.788,60.1,159,8.12,7.22,85,1,3,390
EC,120,48,10300,222,9190,123,2.96,1270,28.8,84,1.66,0.425,44.1,216,8.16,7.26,85,1,3,390
EC,120,48,5930,97.8,4830,130,1.77,743,9.72,81,4.94,1.28,76.4,125,8.07,7.18,85,1,3,390
EC,120,48,5420,86.2,4290,126,1.57,639,7.65,80,6.28,1.52,83.5,114,8.59,7.64,85,1,3,390
EC,120,48,3530,48.6,2400,127,1.03,410,3.21,77,14.9,3.56,128,74.8,8.76,7.79,85,1,3,390
EC,120,48,3110,41.3,1990,129,0.92,370,2.56,76,18.8,4.57,145,66,8.56,7.62,85,1,3,390
EC,120,48,2020,24.4,893,129,0.599,237,1.07,72,44.8,10.7,221,43.2,8.75,7.78,85,1,3,390
EC,100,18,31000,373,28200,49.3,9.15,644,116,89,0.155,0.0178,5.53,1730,48.3,2.07,4.09,1,3,128
EC,100,24,29500,257,27000,48.5,6.42,691,89.1,90,0.269,0.035,7.75,1230,42.8,1.83,4.09,1,3,128
EC,100,48,32100,149,30000,47.6,3.45,857,60.2,90,0.797,0.118,14.2,672,37.6,1.61,4.09,1,3,128
EC,80,48,13300,63.9,11400,57.9,1.72,460,13.4,87,3.59,0.626,34.4,278,29,2.31,7.63,1,3,210
EC,80,48,13600,53.4,11700,44,1.35,346,10.3,86,4.64,0.626,33.5,285,39.5,3.16,7.63,1,3,210
EC,80,48,13800,54.9,12200,32.4,1.03,295,8.98,85,5.35,0.626,32.9,290,47.2,3.77,7.63,1,3,210
EC,80,48,14100,56.5,13200,14.9,0.515,256,7.93,84,6.05,0.626,32.3,296,55.4,4.43,7.63,1,3,210
EC,60,12,37100,327,32500,17.2,5.82,157,51.4,85,0.233,0.02,3.06,3120,238,2.66,1.07,1,3,58
EC,60,18,43400,272,39200,16.9,4.48,205,52,86,0.346,0.033,3.94,2420,213,2.39,1.07,1,3,58
